"company_name","company_url","company_linkedin_url","company_country","company_country_code","company_city","company_industry","company_employee_count","company_founding_year","technologies_count","technologies","jobs_count","jobs_titles","annual_revenue_usd","company_seo_description","company_description","google-cloud-platform_confidence","google-cloud-platform_n_jobs","salesforce-marketing-cloud_confidence","salesforce-marketing-cloud_n_jobs","amazon-web-services_confidence","amazon-web-services_n_jobs","google-drive_confidence","google-drive_n_jobs","onedrive_confidence","onedrive_n_jobs"
"Itaú Unibanco","https://itau.com.br","https://www.linkedin.com/company/itau/","Brazil","BR","Sao Paulo","Banking","106160","1924","498","Google Cloud Platform, Salesforce Marketing Cloud, Amazon Web Services","3654","","28004525000","Maior Private Bank da América Latina, curadoria de alta performance para seus investimentos, presença global e produtos de mais de 40 gestores.","Hello! This is Itaú Unibanco's profile on Linkedin. We are the largest bank in Latin America and our purpose is to stimulate people's power of transformation. Here, we will share with you news about the bank, details about our work environment, opportunities and trends. 😉","medium","76","medium","11","high","1135","","","",""
"Exact Sales","https://exactsales.com.br","https://www.linkedin.com/company/exact-sales/","Brazil","BR","Florianópolis","Software Development","336","2015","128","Amazon Web Services, Google Drive","1242","","","A Exact Sales oferece software para vendas que ajuda na prospecção ativa e melhora as vendas do seu negócio. Conheça nosso software!","Exact Sales por RD Station é a maior empresa de Sales Engagement da América Latina, com mais de 16.000 usuários que confiam em seu software, o Exact Spotter. Com foco em resultados impulsionamos negócios! Por exemplo, na empresa NSC aumentamos em 3x sua receita anual e a ACE Logística internacional teve um aumento
no volume de agendamentos de 234%, 77% em vendas e reduziu o CAC em 60% com nosso software.

Somos uma solução para aumento da eficiência comercial, por automação de ações e decisões a partir de dados profundos, gerando personalização em massa para as empresas que mais crescem no Brasil. Atendendo tanto startups, quanto os maiores líderes de seus mercados, tais como Globo, Serasa, TOTVS, KPMG, VR Beneficios, SAP, Thomson, Unimed, Estadão, Grupo Ultra, Sênior, Basf.

Solicite um diagnóstico gratuito dos processos comerciais da sua empresa e conheça o Spotter: https://conteudo.exactsales.com.br/contate-um-consultor-linkedin

Precursores do uso do termo Pré-vendas para denominar o profissional de prospecção que atua de maneira mais profunda no levantamento prévio de informações dos clientes potenciais. Por isso, fundamos a Academia Exact, onde oferecemos formação gratuita de pré-vendedor para pessoas desempregadas para trazer o melhor da tecnologia de vendas e marketing para impulsionar o seu negócio, onde temos mais de 4 mil formados!

Em junho de 2023 nos tornamos parte do Grupo TOTVS, com a adquirição feita pela RD Station, agora trabalhamos juntos para trazer o melhor da tecnologia de vendas e marketing para nossos clientes.","","","","","low","1","high","797","",""
"FCamara","https://fcamara.com","http://www.linkedin.com/company/fcamaras-comercio-de-pecas-e-acessorios","Brazil","BR","Campinas","IT Services and IT Consulting","1001","","738","Google Cloud Platform, OneDrive, Amazon Web Services","1805","","","Venda de Câmaras de ar em Campinas, Setor automobilístico, Câmaras de ar para pneus em Campinas - SP, Protetores de câmara de ar em Campinas, Venda de artigos de borracharia na região de Campinas, acessórios para borracharia em Campinas-SP, acessórios para borracharia em Hortolândia, acessórios para borracharia em valinhos, acessórios para borracharia em vinhedo, câmara de ar para veículos fora de estrada em Campinas, pneus e câmaras de ar em Campinas - SP - Brasil","Somos um ecossistema de tecnologia e inovação, com 15 anos de atuação, que potencializa o futuro de negócios integrando visão estratégica com execução inteligente, lado a lado com nossos clientes, para proporcionar experiências transformadoras.

A FCamara vem crescendo globalmente de forma contínua e já estamos presentes em 3 países: Brasil, Portugal e Inglaterra.

Somos +1.300 #SangueLaranja anywhere office guiados por nossos valores:

• Atitude na veia
• Crescimento colaborativo
• Parceria de valor
• Inspirados pela transformação

Somos pioneiros em formar, desenvolver e transformar carreiras, e patrocinamos a comunidade tech Orange Juice, que já formou mais de 500 pessoas na área de tecnologia por meio do seu Programa de Formação.

Para nós, Diversidade, Respeito e Ética, são elementos inegociáveis e fazem parte do nosso DNA. Buscamos construir um ambiente diverso, inclusivo e saudável para que nossa comunidade de #SangueLaranja.","medium","226","","","high","550","","","medium","3"
"NAVA - Technology for Business","https://nava.com.br","http://www.linkedin.com/company/nava-technology","Brazil","BR","São Paulo","IT Services and IT Consulting","930","1996","679","Google Cloud Platform, Salesforce Marketing Cloud, OneDrive, Amazon Web Services","1934","","","","Somos uma empresa de tecnologia apaixonada por pessoas e inovação. Inspiramos nossos times a criar soluções para que as maiores e melhores companhias do país transformem e impactem positivamente o mundo. 

Por isso, damos as boas-vindas a todas as pessoas que desejam ser protagonistas de suas vidas e se tornarem tão grandes quanto seus sonhos. Mais que se sentir em casa, desejamos que aqui na NAVA você se sinta livre para escrever o seu próprio código, do seu jeito. Curtiu? Então encontre a vaga ideal para você: https://jobs.kenoby.com/nava","medium","108","low","1","high","518","","","low","1"
"Serasa","https://serasa.com.br","http://www.linkedin.com/company/serasa","Brazil","BR","São Paulo","Banking","1000","1968","478","Google Cloud Platform, Salesforce Marketing Cloud, Amazon Web Services","2027","","17000000","Consulte seu CPF e Score grátis. Solicite cartões de crédito e empréstimo com taxas que cabem no seu bolso. Saiba como limpar seu nome, evite fraudes e uso indevido ao seu CPF. Confira!","Somos uma empresa voltada para o consumidor e queremos revolucionar a saúde financeira dos brasileiros. 

Queremos ser a maior empresa digital do Brasil. Para isso, precisamos de pessoas que pensem tão grande quanto a nós, que não tenham medo de desafios e, principalmente, que joguem junto sempre que necessário. Um ambiente dinâmico, formado por um time que quer transformar a realidade financeira de um país inteiro. Achou desafiador? Isto é Serasa.

Se você gosta de desafios e tem vontade de trabalhar em um time com um propósito claro e ambicioso, seu lugar é com a gente!

👉🏾 Baixe nosso app:

App Store: http://serasa.me/appstore
Play Store: http://serasa.me/playstore","medium","44","medium","19","high","463","","","",""
"Grupo Boticário","https://grupoboticario.com.br","https://www.linkedin.com/company/grupo-boticario/","Brazil","BR","Curitiba","Personal Care Product Manufacturing","43268","2010","606","Amazon Web Services, Salesforce Marketing Cloud, Google Drive, Google Cloud Platform","4418","","1400000000","Since 1991, Boticário Group Foundation is one of the main corporate foundations with a mission to protect nature in Brazil.","Beleza é o negócio do Grupo Boticário. Para nós, ela se traduz em nossas quatro unidades de negócio com atuação no setor cosmético: O Boticário, Eudora, quem disse, berenice? e The Beauty Box. A beleza também está no empreendedorismo, na sustentabilidade, inovação, ética e integridade que inspiram nossa conduta e estimulam as atitudes das pessoas. 

A beleza de nossa organização se expressa , ainda, na Fundação Grupo Boticário de Proteção à Natureza, instituição sem fins lucrativos que realiza ações de conscientização e conservação da natureza em todo o país, desde 1990. 

Para nós, resultados econômicos são reflexos desta postura e de nosso ambiente de trabalho amistoso, diverso e criativo, que promove o desenvolvimento profissional contínuo dos mais de 5.700 colaboradores que fazem parte da organização. 	

Esta soma incentiva nossa rede colaborativa a fazer sempre mais e nos insere nas listas das melhores empresas para trabalhar e começar a carreira no Brasil, de acordo com os rankings do Great Place to Work e das revistas Exame e Você S/A. 

Saiba mais sobre o Grupo Boticário:

www.grupoboticario.com.br 
www.oboticario.com.br 
www.eudora.com.br 
www.quemdisseberenice.com.br
www.thebeautybox.com.br
www.fundacaogrupoboticario.org.br

Acesse  hotsite do Relatório de Sustentabilidade 2012 - grupoboticario.com.br/relatoriosustentabilidade  -  e conheça nossa estratégia de sustentabilidade focada em Matérias-Primas e Embalagens, Canais de Venda e Ecoeficiência.","high","378","medium","13","medium","345","high","17","",""
"Cyber University","https://cyberuniversity.com.br","http://www.linkedin.com/company/cyber-university-br","Brazil","BR","São Paulo","E-Learning Providers","1","2021","159","Google Cloud Platform, Amazon Web Services","631","","","","Cursos de formação para gestores, executivos e profissionais interessados em em formação de alto nível nos temas de Tecnologia mais quentes da atualidade.

Mentoria para profissionais que já atuam ou querem atuar no mundo e Cyber Security.","medium","114","","","high","369","","","",""
"Grupo Brisanet","","http://www.linkedin.com/company/grupo-brisanet","Brazil","BR","","Telecommunications","130","1998","172","Google Cloud Platform, Google Drive","2463","","","","Somos um grupo empresarial do segmento de telecomunicações que tem como missão impactar positivamente a humanidade, disseminando conhecimento que produza inclusão social e tecnológica. Nossa história começou em 1998 a partir do sonho de prover internet de qualidade e com preço acessível a lugares que até então nenhum outro provedor pretendia levar: o interior do Nordeste. Hoje, a nossa Companhia atua em sete dos nove estados nordestinos e leva conectividade do interior até as capitais, contribuindo ativamente para o desenvolvimento das cidades atendidas por meio dos nossos serviços e geração de emprego.
O Grupo Brisanet é formado pelas empresas Agility Telecom e Brisanet Telecomunicações e atende, atualmente, a mais de 1 milhão de clientes no Nordeste.","medium","4","","","","","high","332","",""
"Curriculum.com.br","https://curriculum.com.br","https://www.linkedin.com/company/curriculum-com-br/","Brazil","BR","São Paulo","Internet Publishing","200","1998","1082","Salesforce Marketing Cloud, Google Cloud Platform, OneDrive, Amazon Web Services, Google Drive","7072","","","","A Curriculum é o maior site de empregos da América Latina, com vagas em todos os perfis e localidades para candidatos, além de excelentes ferramentas para quem busca oportunidades de carreira.  Oferece também a maior base de currículos, acessada por milhares de empresas em busca de candidatos. 

É o maior ponto de encontro entre profissionais e empresas da Internet brasileira, trabalha com o cadastro gratuito de currículo e auxilia o candidato na recolocação profissional. Oferece o anúncio da vaga sem custo nenhum para as companhias, disponibiliza uma pesquisa detalhada do perfil de candidatos e administra os processos de recrutamento e seleção, sendo pioneira em oferecer o melhor da tecnologia no segmento.

Atualmente, possui mais de 8 milhões de candidatos únicos cadastrados, mais de 130 mil empresas usuárias e mais de 100 mil vagas disponíveis. A cada 3 minutos um candidato informa que foi contratado.

O candidato cadastrado na Curriculum recebe um UCN - Unique Curriculum Number ou Número Único de Currículo -, um código que o identificará no site e permite o fácil cadastro em outras empresas usuárias do Sistema UCN.

A empresa tem o objetivo de tornar os currículos cadastrados no site cada vez mais visíveis às empresas que buscam bons candidatos. A Curriculum revolucionou a forma de buscar empregos e selecionar profissionais.

Para mais informações sobre a Curriculum, visite: http://www.curriculum.com.br","medium","90","medium","6","high","293","high","10","low","3"
"Sensedia","https://sensedia.com","https://www.linkedin.com/company/sensedia/","Brazil","BR","Campinas","IT Services and IT Consulting","665","","373","Google Cloud Platform, Amazon Web Services","797","","","Modern Integration Platform","Sensedia supports companies to become more digital, connected and open through a technology platform and expertise in APIs and Microservices.

Named as a Leader by The Forrester Wave™ (API Management Solutions Q3 2022), Sensedia is an award winner company, recognized by Global Business Tech Awards as SaaS Company of the Year, and by Paytech Awards - Fintech Futures as Best Real-Time Payments Solution.

The company is present in Brazil, USA, Mexico, Colombia and Peru, serving more than 200 customers in 14 sectors in numerous countries around the world, and has been supporting companies with technical solutions since 2007.

Whether aiming to integrate channels, enable partner ecosystems or create modern multi-cloud/hybrid architectures, innovative enterprises rely on Sensedia as a partner in API Management Platform, Adaptive Governance, Cloud Connectors, Events Hub, Service Mesh and Professional Services.","medium","99","","","high","249","","","",""
